N,A,B,Cin,Output,Expected,Latency
7,1000100,1101100,1,10110001,10110001,5
8,1000100,1101100,1,10110001,10110001,5
9,101000100,1101100,1,110110001,110110001,5
10,101000100,1101100,1,110110001,110110001,5
20,1011100010010001011,100011111100010101,1,10000000001110100001,10000000001110100001,19
21,101011100010010001011,100100011111100010101,1,1010000000001110100001,1010000000001110100001,19
22,101011100010010001011,1100100011111100010101,1,10010000000001110100001,10010000000001110100001,19
23,10101011100010010001011,1100100011111100010101,1,100010000000001110100001,100010000000001110100001,19
24,110101011100010010001011,101100100011111100010101,1,1100010000000001110100001,1100010000000001110100001,19
25,1110101011100010010001011,101100100011111100010101,1,10100010000000001110100001,10100010000000001110100001,19
26,1110101011100010010001011,10101100100011111100010101,1,100100010000000001110100001,100100010000000001110100001,19
27,101110101011100010010001011,10101100100011111100010101,1,1000100010000000001110100001,1000100010000000001110100001,19
28,101110101011100010010001011,1010101100100011111100010101,1,10000100010000000001110100001,10000100010000000001110100001,19
29,101110101011100010010001011,1010101100100011111100010101,1,10000100010000000001110100001,10000100010000000001110100001,19
30,101110101011100010010001011,1010101100100011111100010101,1,10000100010000000001110100001,10000100010000000001110100001,19
31,1000101110101011100010010001011,1010101100100011111100010101,1,1010000100010000000001110100001,1010000100010000000001110100001,19
32,11000101110101011100010010001011,1010101100100011111100010101,1,11010000100010000000001110100001,11010000100010000000001110100001,19
2,1,11,1,101,101,4
11,10101000100,10001101100,1,100110110001,100110110001,5
17,10010001110001010,110000111110,1,10010111111001001,10010111111001001,5
3,100,0,0,100,100,4
5,101,10101,1,11011,11011,4
1,0,0,1,1,1,2
2,1,11,0,100,100,1
12,110101000100,10001101100,1,1000110110001,1000110110001,5
18,10010001110001010,110000111110,1,10010111111001001,10010111111001001,5
13,1110101000100,1010001101100,1,11000110110001,11000110110001,5
14,1110101000100,11010001101100,1,101000110110001,101000110110001,5
15,101110101000100,111010001101100,1,1101000110110001,1101000110110001,5
6,100101,110101,1,1011011,1011011,5
16,101110101000100,1111010001101100,1,10101000110110001,10101000110110001,5
19,10010001110001010,1000000110000111110,1,1010010111111001001,1010010111111001001,5
1,1,0,1,10,10,2
7,100101,110101,1,1011011,1011011,5
8,10100101,110101,1,11011011,11011011,5
20,10010001110001010,1000000110000111110,1,1010010111111001001,1010010111111001001,5
21,10010001110001010,1000000110000111110,1,1010010111111001001,1010010111111001001,5
22,1000010010001110001010,1000000110000111110,1,1001010010111111001001,1001010010111111001001,5
23,11000010010001110001010,10001000000110000111110,1,101001010010111111001001,101001010010111111001001,5
24,11000010010001110001010,10001000000110000111110,1,101001010010111111001001,101001010010111111001001,5
25,1011000010010001110001010,1010001000000110000111110,1,10101001010010111111001001,10101001010010111111001001,5
26,1011000010010001110001010,11010001000000110000111110,1,100101001010010111111001001,100101001010010111111001001,5
27,101011000010010001110001010,111010001000000110000111110,1,1100101001010010111111001001,1100101001010010111111001001,5
28,101011000010010001110001010,1111010001000000110000111110,1,10100101001010010111111001001,10100101001010010111111001001,5
29,101011000010010001110001010,11111010001000000110000111110,1,100100101001010010111111001001,100100101001010010111111001001,5
30,101011000010010001110001010,11111010001000000110000111110,1,100100101001010010111111001001,100100101001010010111111001001,5
31,1000101011000010010001110001010,11111010001000000110000111110,1,1100100101001010010111111001001,1100100101001010010111111001001,5
32,1000101011000010010001110001010,10011111010001000000110000111110,1,11100100101001010010111111001001,11100100101001010010111111001001,5
1,1,1,0,10,10,0
4,11,1100,0,1111,1111,8
9,10100101,100110101,1,111011011,111011011,6
2,0,10,1,11,11,4
10,1010100101,1100110101,1,10111011011,10111011011,7
17,101110101000100,11111010001101100,1,100101000110110001,100101000110110001,6
3,101,11,1,1001,1001,6
11,11010100101,1100110101,1,100111011011,100111011011,7
1,1,0,0,1,1,2
1,0,1,0,1,1,0
3,1,111,0,1000,1000,1
4,1,1000,1,1010,1010,3
12,11010100101,1100110101,1,100111011011,100111011011,7
13,1011010100101,1100110101,1,1100111011011,1100111011011,7
14,1011010100101,1100110101,1,1100111011011,1100111011011,7
15,1011010100101,1100110101,1,1100111011011,1100111011011,7
18,100101110101000100,11111010001101100,1,1000101000110110001,1000101000110110001,8
2,1,10,1,100,100,4
5,11,11100,0,11111,11111,10
16,1001011010100101,1100110101,1,1001100111011011,1001100111011011,7
1,1,0,1,10,10,2
2,1,11,0,100,100,0
4,11,11,1,111,111,3
17,11001011010100101,10000001100110101,1,101001100111011011,101001100111011011,7
19,100101110101000100,1011111010001101100,1,10000101000110110001,10000101000110110001,10
1,0,0,0,0,0,2
3,100,110,1,1011,1011,5
5,1,1000,1,1010,1010,3
6,100011,11100,0,111111,111111,12
2,11,0,0,11,11,4
20,100101110101000100,11011111010001101100,1,100000101000110110001,100000101000110110001,12
1,0,1,1,10,10,2
7,1100011,1011100,0,10111111,10111111,13
8,11100011,11011100,0,110111111,110111111,13
18,11001011010100101,10000001100110101,1,101001100111011011,101001100111011011,7
21,100101110101000100,11011111010001101100,1,100000101000110110001,100000101000110110001,13
22,100101110101000100,1011011111010001101100,1,1100000101000110110001,1100000101000110110001,13
23,100101110101000100,11011011111010001101100,1,11100000101000110110001,11100000101000110110001,13
24,100101110101000100,11011011111010001101100,1,11100000101000110110001,11100000101000110110001,13
25,100101110101000100,11011011111010001101100,1,11100000101000110110001,11100000101000110110001,13
26,10000000100101110101000100,10011011011111010001101100,1,100011100000101000110110001,100011100000101000110110001,13
27,10000000100101110101000100,110011011011111010001101100,1,1000011100000101000110110001,1000011100000101000110110001,13
28,10000000100101110101000100,110011011011111010001101100,1,1000011100000101000110110001,1000011100000101000110110001,13
29,10000000100101110101000100,10110011011011111010001101100,1,11000011100000101000110110001,11000011100000101000110110001,13
30,100010000000100101110101000100,110110011011011111010001101100,1,1011000011100000101000110110001,1011000011100000101000110110001,13
31,100010000000100101110101000100,110110011011011111010001101100,1,1011000011100000101000110110001,1011000011100000101000110110001,13
32,100010000000100101110101000100,10110110011011011111010001101100,1,11011000011100000101000110110001,11011000011100000101000110110001,13
4,1100,1000,0,10100,10100,5
5,10011,11,1,10111,10111,3
9,11100011,111011100,0,1010111111,1010111111,13
2,10,11,0,101,101,2
6,1,101000,1,101010,101010,3
10,11100011,1111011100,0,10010111111,10010111111,13
1,1,1,1,11,11,2
3,101,110,1,1100,1100,5
11,10011100011,11111011100,0,110010111111,110010111111,13
7,1,1101000,1,1101010,1101010,3
8,1,1101000,1,1101010,1101010,3
19,1011001011010100101,1010000001100110101,1,10101001100111011011,10101001100111011011,7
12,110011100011,111111011100,0,1110010111111,1110010111111,13
1,0,1,1,10,10,2
2,1,0,1,10,10,3
3,1,111,0,1000,1000,2
6,10011,100011,1,110111,110111,3
9,100000001,1101000,1,101101010,101101010,4
13,1110011100011,111111011100,0,10110010111111,10110010111111,13
14,1110011100011,10111111011100,0,100110010111111,100110010111111,13
15,1110011100011,10111111011100,0,100110010111111,100110010111111,13
1,1,1,0,10,10,0
2,0,10,0,10,10,0
5,11100,1000,0,100100,100100,5
16,1001110011100011,10111111011100,0,1100110010111111,1100110010111111,13
20,11011001011010100101,11010000001100110101,1,110101001100111011011,110101001100111011011,7
1,1,1,1,11,11,0
7,1010011,1100011,1,10110111,10110111,3
8,11010011,11100011,1,110110111,110110111,3
21,11011001011010100101,11010000001100110101,1,110101001100111011011,110101001100111011011,7
22,1011011001011010100101,1011010000001100110101,1,10110101001100111011011,10110101001100111011011,7
23,1011011001011010100101,11011010000001100110101,1,100110101001100111011011,100110101001100111011011,7
24,101011011001011010100101,111011010000001100110101,1,1100110101001100111011011,1100110101001100111011011,7
25,101011011001011010100101,111011010000001100110101,1,1100110101001100111011011,1100110101001100111011011,7
26,10101011011001011010100101,10111011010000001100110101,1,101100110101001100111011011,101100110101001100111011011,7
27,10101011011001011010100101,10111011010000001100110101,1,101100110101001100111011011,101100110101001100111011011,7
28,10101011011001011010100101,1010111011010000001100110101,1,1101100110101001100111011011,1101100110101001100111011011,7
29,10010101011011001011010100101,11010111011010000001100110101,1,101101100110101001100111011011,101101100110101001100111011011,7
30,10010101011011001011010100101,11010111011010000001100110101,1,101101100110101001100111011011,101101100110101001100111011011,7
31,1010010101011011001011010100101,11010111011010000001100110101,1,1101101100110101001100111011011,1101101100110101001100111011011,7
32,11010010101011011001011010100101,11010111011010000001100110101,1,11101101100110101001100111011011,11101101100110101001100111011011,7
4,101,11,1,1001,1001,7
10,100000001,1001101000,1,1101101010,1101101010,6
17,11001110011100011,10010111111011100,0,101100110010111111,101100110010111111,13
1,0,0,0,0,0,2
9,11010011,111100011,1,1010110111,1010110111,4
11,100000001,1001101000,1,1101101010,1101101010,7
2,0,11,1,100,100,4
4,1001,111,0,10000,10000,2
6,11100,1000,0,100100,100100,5
3,111,0,0,111,111,6
12,100000001,101001101000,1,101101101010,101101101010,7
1,0,1,0,1,1,2
7,11100,1000,0,100100,100100,5
8,10011100,10001000,0,100100100,100100100,5
13,100000001,1101001101000,1,1101101101010,1101101101010,7
14,10000100000001,11101001101000,1,101101101101010,101101101101010,7
15,110000100000001,111101001101000,1,1101101101101010,1101101101101010,7
18,111001110011100011,110010111111011100,0,1101100110010111111,1101100110010111111,13
2,1,11,1,101,101,2
5,10101,10011,1,101001,101001,7
16,1110000100000001,111101001101000,1,10101101101101010,10101101101101010,7
10,1011010011,111100011,1,10010110111,10010110111,6
1,1,1,0,10,10,2
9,110011100,110001000,0,1100100100,1100100100,5
2,10,11,1,110,110,2
3,110,11,0,1001,1001,4
4,100,110,1,1011,1011,5
17,11110000100000001,10111101001101000,1,110101101101101010,110101101101101010,7
19,111001110011100011,110010111111011100,0,1101100110010111111,1101100110010111111,13
1,0,1,0,1,1,2
5,11001,111,0,100000,100000,4
6,110101,10011,1,1001001,1001001,7
11,1011010011,10111100011,1,100010110111,100010110111,8
1,0,1,0,1,1,0
2,11,1,0,100,100,2
20,10111001110011100011,10110010111111011100,0,101101100110010111111,101101100110010111111,13
1,0,0,1,1,1,0
3,1,0,1,10,10,3
7,110101,1010011,1,10001001,10001001,7
8,110101,1010011,1,10001001,10001001,7
10,110011100,110001000,0,1100100100,1100100100,5
18,111110000100000001,110111101001101000,1,1110101101101101010,1110101101101101010,7
21,110111001110011100011,10110010111111011100,0,1001101100110010111111,1001101100110010111111,13
22,110111001110011100011,10110010111111011100,0,1001101100110010111111,1001101100110010111111,13
23,10110111001110011100011,10110010111111011100,0,11001101100110010111111,11001101100110010111111,13
24,110110111001110011100011,10110010111111011100,0,111001101100110010111111,111001101100110010111111,13
25,1110110111001110011100011,10110010111111011100,0,1111001101100110010111111,1111001101100110010111111,13
26,1110110111001110011100011,10000010110010111111011100,0,11111001101100110010111111,11111001101100110010111111,13
27,1110110111001110011100011,110000010110010111111011100,0,111111001101100110010111111,111111001101100110010111111,13
2,1,11,1,101,101,1
28,1110110111001110011100011,1110000010110010111111011100,0,1111111001101100110010111111,1111111001101100110010111111,14
4,101,1110,1,10100,10100,5
12,101011010011,10111100011,1,1000010110111,1000010110111,10
1,0,1,1,10,10,2
9,100110101,1010011,1,110001001,110001001,7
29,10001110110111001110011100011,1110000010110010111111011100,0,11111111001101100110010111111,11111111001101100110010111111,16
1,0,1,1,10,10,0
5,10100,10110,1,101011,101011,5
6,11001,111,0,100000,100000,5
11,10110011100,10110001000,0,101100100100,101100100100,5
19,111110000100000001,110111101001101000,1,1110101101101101010,1110101101101101010,7
30,110001110110111001110011100011,101110000010110010111111011100,0,1011111111001101100110010111111,1011111111001101100110010111111,17
31,1110001110110111001110011100011,1101110000010110010111111011100,0,11011111111001101100110010111111,11011111111001101100110010111111,17
32,11110001110110111001110011100011,1101110000010110010111111011100,0,101011111111001101100110010111111,101011111111001101100110010111111,17
4,1001,111,0,10000,10000,2
13,101011010011,1010111100011,1,10000010110111,10000010110111,12
2,0,10,0,10,10,4
3,100,110,0,1010,1010,5
7,1011001,1000111,0,10100000,10100000,5
8,11011001,11000111,0,110100000,110100000,5
14,10101011010011,11010111100011,1,110000010110111,110000010110111,13
15,10101011010011,111010111100011,1,1010000010110111,1010000010110111,13
1,1,0,0,1,1,2
16,1010101011010011,111010111100011,1,10010000010110111,10010000010110111,13
20,111110000100000001,110111101001101000,1,1110101101101101010,1110101101101101010,7
10,100110101,1010011,1,110001001,110001001,7
12,110110011100,10110001000,0,1001100100100,1001100100100,5
21,111110000100000001,110111101001101000,1,1110101101101101010,1110101101101101010,7
22,1000111110000100000001,1000110111101001101000,1,10001110101101101101010,10001110101101101101010,7
23,1000111110000100000001,11000110111101001101000,1,100001110101101101101010,100001110101101101101010,7
24,101000111110000100000001,11000110111101001101000,1,1000001110101101101101010,1000001110101101101101010,7
25,101000111110000100000001,11000110111101001101000,1,1000001110101101101101010,1000001110101101101101010,7
26,101000111110000100000001,11000110111101001101000,1,1000001110101101101101010,1000001110101101101101010,7
27,101000111110000100000001,100011000110111101001101000,1,101000001110101101101101010,101000001110101101101101010,7
2,0,11,0,11,11,2
9,11011001,111000111,0,1010100000,1010100000,5
28,101000111110000100000001,100011000110111101001101000,1,101000001110101101101101010,101000001110101101101101010,7
1,1,1,0,10,10,2
5,10101,1110,1,100100,100100,5
6,110100,10110,1,1001011,1001011,5
17,1010101011010011,10111010111100011,1,100010000010110111,100010000010110111,13
1,1,1,0,10,10,0
13,1110110011100,10110001000,0,10001100100100,10001100100100,5
29,101000111110000100000001,10100011000110111101001101000,1,10101000001110101101101101010,10101000001110101101101101010,7
3,100,111,1,1100,1100,5
7,110100,1010110,1,10001011,10001011,5
11,100110101,10001010011,1,10110001001,10110001001,7
14,1110110011100,10110001000,0,10001100100100,10001100100100,5
15,101110110011100,10110001000,0,110001100100100,110001100100100,5
30,101000111110000100000001,110100011000110111101001101000,1,110101000001110101101101101010,110101000001110101101101101010,7
31,101000111110000100000001,110100011000110111101001101000,1,110101000001110101101101101010,110101000001110101101101101010,7
32,101000111110000100000001,10110100011000110111101001101000,1,10110101000001110101101101101010,10110101000001110101101101101010,7
2,11,11,0,110,110,3
5,11001,111,0,100000,100000,2
8,110100,11010110,1,100001011,100001011,6
16,1101110110011100,1000010110001000,0,10110001100100100,10110001100100100,5
1,0,1,0,1,1,2
4,111,1000,0,1111,1111,8
10,1011011001,1111000111,0,11010100000,11010100000,5
18,101010101011010011,10111010111100011,1,1000010000010110111,1000010000010110111,13
1,0,0,1,1,1,0
3,101,11,1,1001,1001,2
12,100110101,110001010011,1,110110001001,110110001001,7
17,11101110110011100,11000010110001000,0,110110001100100100,110110001100100100,5
2,10,11,0,101,101,3
6,110101,1110,1,1000100,1000100,6
9,100110100,111010110,1,1100001011,1100001011,7
1,1,1,1,11,11,2
3,110,111,1,1110,1110,2
11,1011011001,1111000111,0,11010100000,11010100000,5
19,101010101011010011,10111010111100011,1,1000010000010110111,1000010000010110111,13
1,1,1,1,11,11,0
13,100110101,110001010011,1,110110001001,110110001001,7
2,10,1,0,11,11,2
6,11001,100111,0,1000000,1000000,2
14,100110101,10110001010011,1,10110110001001,10110110001001,7
15,100110101,10110001010011,1,10110110001001,10110110001001,7
18,111101110110011100,11000010110001000,0,1010110001100100100,1010110001100100100,5
2,0,10,1,11,11,0
3,11,1,0,100,100,2
4,110,1011,0,10001,10001,6
7,1110101,1110,1,10000100,10000100,8
16,1000000100110101,1010110001010011,1,10010110110001001,10010110110001001,7
20,10101010101011010011,10010111010111100011,1,101000010000010110111,101000010000010110111,13
1,1,0,1,10,10,2
2,0,1,1,10,10,0
10,100110100,1111010110,1,10100001011,10100001011,7
12,1011011001,1111000111,0,11010100000,11010100000,5
21,10101010101011010011,10010111010111100011,1,101000010000010110111,101000010000010110111,13
22,1010101010101011010011,10010111010111100011,1,1101000010000010110111,1101000010000010110111,13
23,1010101010101011010011,10010010111010111100011,1,11101000010000010110111,11101000010000010110111,13
24,101010101010101011010011,110010010111010111100011,1,1011101000010000010110111,1011101000010000010110111,13
25,1101010101010101011010011,1110010010111010111100011,1,11011101000010000010110111,11011101000010000010110111,13
26,1101010101010101011010011,1110010010111010111100011,1,11011101000010000010110111,11011101000010000010110111,13
27,1101010101010101011010011,1110010010111010111100011,1,11011101000010000010110111,11011101000010000010110111,13
8,11110101,10001110,1,110000100,110000100,9
28,1001101010101010101011010011,1110010010111010111100011,1,1011011101000010000010110111,1011011101000010000010110111,13
3,101,11,1,1001,1001,2
5,111,11000,0,11111,11111,10
7,1011001,100111,0,10000000,10000000,2
17,11000000100110101,11010110001010011,1,110010110110001001,110010110110001001,7
19,111101110110011100,1011000010110001000,0,10010110001100100100,10010110001100100100,5
1,0,0,1,1,1,2
4,1,0,1,10,10,3
13,1011011001,1111000111,0,11010100000,11010100000,5
29,1001101010101010101011010011,10001110010010111010111100011,1,11011011101000010000010110111,11011011101000010000010110111,13
2,10,1,1,100,100,3
8,1011001,10100111,0,100000000,100000000,2
11,100110100,11111010110,1,100100001011,100100001011,7
14,10001011011001,1111000111,0,10011010100000,10011010100000,5
15,10001011011001,100001111000111,0,110011010100000,110011010100000,5
30,101001101010101010101011010011,110001110010010111010111100011,1,1011011011101000010000010110111,1011011011101000010000010110111,13
31,1101001101010101010101011010011,1110001110010010111010111100011,1,11011011011101000010000010110111,11011011011101000010000010110111,13
32,11101001101010101010101011010011,1110001110010010111010111100011,1,101011011011101000010000010110111,101011011011101000010000010110111,13
9,11110101,110001110,1,1010000100,1010000100,9
16,10001011011001,1100001111000111,0,1110011010100000,1110011010100000,5
20,10111101110110011100,1011000010110001000,0,100010110001100100100,100010110001100100100,5
1,1,1,1,11,11,2
18,111000000100110101,11010110001010011,1,1010010110110001001,1010010110110001001,7
21,110111101110110011100,101011000010110001000,0,1100010110001100100100,1100010110001100100100,5
22,110111101110110011100,1101011000010110001000,0,10100010110001100100100,10100010110001100100100,5
23,10110111101110110011100,11101011000010110001000,0,110100010110001100100100,110100010110001100100100,5
24,10110111101110110011100,11101011000010110001000,0,110100010110001100100100,110100010110001100100100,5
25,10110111101110110011100,11101011000010110001000,0,110100010110001100100100,110100010110001100100100,5
26,10010110111101110110011100,11101011000010110001000,0,10110100010110001100100100,10110100010110001100100100,5
27,110010110111101110110011100,100011101011000010110001000,0,1010110100010110001100100100,1010110100010110001100100100,5
28,1110010110111101110110011100,100011101011000010110001000,0,10010110100010110001100100100,10010110100010110001100100100,5
1,1,1,0,10,10,1
9,1011001,110100111,0,1000000000,1000000000,2
12,100110100,11111010110,1,100100001011,100100001011,7
17,10010001011011001,1100001111000111,0,11110011010100000,11110011010100000,5
1,1,1,0,10,10,0
2,11,0,0,11,11,4
3,100,10,0,110,110,6
4,1100,110,0,10010,10010,5
29,1110010110111101110110011100,100011101011000010110001000,0,10010110100010110001100100100,10010110100010110001100100100,5
10,11110101,110001110,1,1010000100,1010000100,9
19,1111000000100110101,1011010110001010011,1,11010010110110001001,11010010110110001001,7
30,1110010110111101110110011100,100011101011000010110001000,0,10010110100010110001100100100,10010110100010110001100100100,5
31,1001110010110111101110110011100,1000100011101011000010110001000,0,10010010110100010110001100100100,10010010110100010110001100100100,5
32,1001110010110111101110110011100,1000100011101011000010110001000,0,10010010110100010110001100100100,10010010110100010110001100100100,5
5,10110,1011,0,100001,100001,8
6,111,111000,0,111111,111111,12
13,100110100,1011111010110,1,1100100001011,1100100001011,7
1,0,0,0,0,0,2
3,100,111,0,1011,1011,2
14,100110100,11011111010110,1,11100100001011,11100100001011,7
15,100110100,11011111010110,1,11100100001011,11100100001011,7
10,1001011001,1110100111,0,11000000000,11000000000,2
16,1000000100110100,11011111010110,1,1011100100001011,1011100100001011,7
18,10010001011011001,101100001111000111,0,111110011010100000,111110011010100000,6
20,1111000000100110101,11011010110001010011,1,101010010110110001001,101010010110110001001,7
2,1,11,0,100,100,4
11,11110101,10110001110,1,11010000100,11010000100,9
21,101111000000100110101,11011010110001010011,1,1001010010110110001001,1001010010110110001001,7
22,1101111000000100110101,11011010110001010011,1,10001010010110110001001,10001010010110110001001,7
23,11101111000000100110101,11011010110001010011,1,100001010010110110001001,100001010010110110001001,7
24,111101111000000100110101,100011011010110001010011,1,1100001010010110110001001,1100001010010110110001001,7
25,111101111000000100110101,1100011011010110001010011,1,10100001010010110110001001,10100001010010110110001001,7
26,10111101111000000100110101,1100011011010110001010011,1,100100001010010110110001001,100100001010010110110001001,7
27,10111101111000000100110101,1100011011010110001010011,1,100100001010010110110001001,100100001010010110110001001,7
1,0,1,0,1,1,2
4,1100,1111,1,11100,11100,5
28,1010111101111000000100110101,1001100011011010110001010011,1,10100100001010010110110001001,10100100001010010110110001001,7
5,10001,0,1,10010,10010,4
7,111,111000,0,111111,111111,13
17,11000000100110100,11011111010110,1,11011100100001011,11011100100001011,7
2,11,11,0,110,110,2
3,11,111,0,1010,1010,4
29,11010111101111000000100110101,1001100011011010110001010011,1,100100100001010010110110001001,100100100001010010110110001001,7
1,0,0,0,0,0,2
4,101,1011,1,10001,10001,2
8,111,111000,0,111111,111111,13
12,100011110101,110110001110,1,1011010000100,1011010000100,9
19,10010001011011001,101100001111000111,0,111110011010100000,111110011010100000,7
30,11010111101111000000100110101,101001100011011010110001010011,1,1000100100001010010110110001001,1000100100001010010110110001001,7
31,11010111101111000000100110101,101001100011011010110001010011,1,1000100100001010010110110001001,1000100100001010010110110001001,7
32,11010111101111000000100110101,10101001100011011010110001010011,1,11000100100001010010110110001001,11000100100001010010110110001001,7
11,1001011001,11110100111,0,101000000000,101000000000,4
1,1,1,1,11,11,2
3,10,111,0,1001,1001,3
4,1110,111,1,10110,10110,2
6,10110,1011,0,100001,100001,9
13,100011110101,1110110001110,1,10011010000100,10011010000100,9
18,11000000100110100,100011011111010110,1,111011100100001011,111011100100001011,7
20,10010001011011001,10101100001111000111,0,10111110011010100000,10111110011010100000,7
2,0,11,0,11,11,4
5,11100,10110,0,110010,110010,5
9,100000111,100111000,0,1000111111,1000111111,13
14,10100011110101,11110110001110,1,110011010000100,110011010000100,9
15,10100011110101,111110110001110,1,1010011010000100,1010011010000100,9
21,100010010001011011001,110101100001111000111,0,1010111110011010100000,1010111110011010100000,7
22,100010010001011011001,110101100001111000111,0,1010111110011010100000,1010111110011010100000,7
23,10100010010001011011001,10110101100001111000111,0,101010111110011010100000,101010111110011010100000,7
24,110100010010001011011001,110110101100001111000111,0,1101010111110011010100000,1101010111110011010100000,7
25,110100010010001011011001,1110110101100001111000111,0,10101010111110011010100000,10101010111110011010100000,7
26,110100010010001011011001,11110110101100001111000111,0,100101010111110011010100000,100101010111110011010100000,7
27,100110100010010001011011001,11110110101100001111000111,0,1000101010111110011010100000,1000101010111110011010100000,7
2,0,10,1,11,11,0
16,10100011110101,1111110110001110,1,10010011010000100,10010011010000100,9
28,1100110100010010001011011001,11110110101100001111000111,0,10000101010111110011010100000,10000101010111110011010100000,7
1,0,0,1,1,1,2
12,101001011001,111110100111,0,1101000000000,1101000000000,5
3,110,101,0,1011,1011,3
29,1100110100010010001011011001,11110110101100001111000111,0,10000101010111110011010100000,10000101010111110011010100000,7
4,11,1001,0,1100,1100,4
7,1010110,1011,0,1100001,1100001,9
17,10100011110101,1111110110001110,1,10010011010000100,10010011010000100,9
19,11000000100110100,100011011111010110,1,111011100100001011,111011100100001011,7
30,101100110100010010001011011001,100011110110101100001111000111,0,1010000101010111110011010100000,1010000101010111110011010100000,7
31,1101100110100010010001011011001,1100011110110101100001111000111,0,11010000101010111110011010100000,11010000101010111110011010100000,7
