N,A,B,Cin,P,Output,Expected,Latency
29,1011000100010000000000,110100001000111001101001101,0,zzzzzzzzzzzzzzzzzzzzzzzzzzzzz,110101100001011011101001101,110101100001011011101001101,12
30,1011000100010000000000,100110100001000111001101001101,0,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,100110101100001011011101001101,100110101100001011011101001101,12
31,1011000100010000000000,100110100001000111001101001101,0,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,100110101100001011011101001101,100110101100001011011101001101,12
32,10000000001011000100010000000000,100110100001000111001101001101,0,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,10100110101100001011011101001101,10100110101100001011011101001101,12
33,110000000001011000100010000000000,100110100001000111001101001101,0,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,110100110101100001011011101001101,110100110101100001011011101001101,13
34,1110000000001011000100010000000000,100110100001000111001101001101,0,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,1110100110101100001011011101001101,1110100110101100001011011101001101,14
35,11110000000001011000100010000000000,100110100001000111001101001101,0,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,11110100110101100001011011101001101,11110100110101100001011011101001101,14
36,111110000000001011000100010000000000,100110100001000111001101001101,0,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,111110100110101100001011011101001101,111110100110101100001011011101001101,14
37,1111110000000001011000100010000000000,100110100001000111001101001101,0,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,1111110100110101100001011011101001101,1111110100110101100001011011101001101,14
38,11111110000000001011000100010000000000,100110100001000111001101001101,0,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,11111110100110101100001011011101001101,11111110100110101100001011011101001101,14
39,111111110000000001011000100010000000000,100110100001000111001101001101,0,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,111111110100110101100001011011101001101,111111110100110101100001011011101001101,14
40,1111111110000000001011000100010000000000,100110100001000111001101001101,0,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,1111111110100110101100001011011101001101,1111111110100110101100001011011101001101,14
41,11111111110000000001011000100010000000000,100110100001000111001101001101,0,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,11111111110100110101100001011011101001101,11111111110100110101100001011011101001101,14
42,111111111110000000001011000100010000000000,100110100001000111001101001101,0,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,111111111110100110101100001011011101001101,111111111110100110101100001011011101001101,14
43,1111111111110000000001011000100010000000000,100110100001000111001101001101,0,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,1111111111110100110101100001011011101001101,1111111111110100110101100001011011101001101,14
44,11111111111110000000001011000100010000000000,100110100001000111001101001101,0,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,11111111111110100110101100001011011101001101,11111111111110100110101100001011011101001101,14
45,111111111111110000000001011000100010000000000,100110100001000111001101001101,0,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,111111111111110100110101100001011011101001101,111111111111110100110101100001011011101001101,14
46,1111111111111110000000001011000100010000000000,100110100001000111001101001101,0,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,1111111111111110100110101100001011011101001101,1111111111111110100110101100001011011101001101,14
47,11111111111111110000000001011000100010000000000,100110100001000111001101001101,0,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,11111111111111110100110101100001011011101001101,11111111111111110100110101100001011011101001101,14
48,111111111111111110000000001011000100010000000000,100110100001000111001101001101,0,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,111111111111111110100110101100001011011101001101,111111111111111110100110101100001011011101001101,14
49,1111111111111111110000000001011000100010000000000,100110100001000111001101001101,0,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,1111111111111111110100110101100001011011101001101,1111111111111111110100110101100001011011101001101,14
50,11111111111111111110000000001011000100010000000000,100110100001000111001101001101,0,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,11111111111111111110100110101100001011011101001101,11111111111111111110100110101100001011011101001101,14
51,111111111111111111110000000001011000100010000000000,100110100001000111001101001101,0,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,111111111111111111110100110101100001011011101001101,111111111111111111110100110101100001011011101001101,14
52,1111111111111111111110000000001011000100010000000000,100110100001000111001101001101,0,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,1111111111111111111110100110101100001011011101001101,1111111111111111111110100110101100001011011101001101,14
53,11111111111111111111110000000001011000100010000000000,100110100001000111001101001101,0,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,11111111111111111111110100110101100001011011101001101,11111111111111111111110100110101100001011011101001101,14
54,111111111111111111111110000000001011000100010000000000,100110100001000111001101001101,0,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,111111111111111111111110100110101100001011011101001101,111111111111111111111110100110101100001011011101001101,14
55,1111111111111111111111110000000001011000100010000000000,100110100001000111001101001101,0,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,1111111111111111111111110100110101100001011011101001101,1111111111111111111111110100110101100001011011101001101,14
56,11111111111111111111111110000000001011000100010000000000,100110100001000111001101001101,0,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,11111111111111111111111110100110101100001011011101001101,11111111111111111111111110100110101100001011011101001101,14
57,111111111111111111111111110000000001011000100010000000000,100110100001000111001101001101,0,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,111111111111111111111111110100110101100001011011101001101,111111111111111111111111110100110101100001011011101001101,14
58,1111111111111111111111111110000000001011000100010000000000,100110100001000111001101001101,0,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,1111111111111111111111111110100110101100001011011101001101,1111111111111111111111111110100110101100001011011101001101,14
59,11111111111111111111111111110000000001011000100010000000000,100110100001000111001101001101,0,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,11111111111111111111111111110100110101100001011011101001101,11111111111111111111111111110100110101100001011011101001101,14
60,111111111111111111111111111110000000001011000100010000000000,100110100001000111001101001101,0,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,111111111111111111111111111110100110101100001011011101001101,111111111111111111111111111110100110101100001011011101001101,14
61,1111111111111111111111111111110000000001011000100010000000000,100110100001000111001101001101,0,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,1111111111111111111111111111110100110101100001011011101001101,1111111111111111111111111111110100110101100001011011101001101,14
62,11111111111111111111111111111110000000001011000100010000000000,100110100001000111001101001101,0,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,11111111111111111111111111111110100110101100001011011101001101,11111111111111111111111111111110100110101100001011011101001101,14
63,111111111111111111111111111111110000000001011000100010000000000,100110100001000111001101001101,0,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,111111111111111111111111111111110100110101100001011011101001101,111111111111111111111111111111110100110101100001011011101001101,14
64,1111111111111111111111111111111110000000001011000100010000000000,100110100001000111001101001101,0,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,1111111111111111111111111111111110100110101100001011011101001101,1111111111111111111111111111111110100110101100001011011101001101,14
1,1,1,1,z,11,11,2
2,11,1,1,zz,101,101,3
3,11,101,1,zzz,1001,1001,4
4,1011,101,1,zzzz,10001,10001,5
5,1011,10101,1,zzzzz,100001,100001,6
6,1011,10101,1,zzzzzz,100001,100001,7
7,1011,10101,1,zzzzzzz,100001,100001,8
8,10001011,10101,1,zzzzzzzz,10100001,10100001,8
9,10001011,100010101,1,zzzzzzzzz,110100001,110100001,9
10,10001011,1100010101,1,zzzzzzzzzz,1110100001,1110100001,10
11,10010001011,11100010101,1,zzzzzzzzzzz,101110100001,101110100001,10
12,10010001011,111100010101,1,zzzzzzzzzzzz,1001110100001,1001110100001,10
13,10010001011,1111100010101,1,zzzzzzzzzzzzz,10001110100001,10001110100001,10
14,10010001011,11111100010101,1,zzzzzzzzzzzzzz,100001110100001,100001110100001,10
15,100010010001011,11111100010101,1,zzzzzzzzzzzzzzz,1000001110100001,1000001110100001,10
16,1100010010001011,11111100010101,1,zzzzzzzzzzzzzzzz,10000001110100001,10000001110100001,10
17,11100010010001011,11111100010101,1,zzzzzzzzzzzzzzzzz,100000001110100001,100000001110100001,11
18,11100010010001011,100011111100010101,1,zzzzzzzzzzzzzzzzzz,1000000001110100001,1000000001110100001,12
19,1011100010010001011,100011111100010101,1,zzzzzzzzzzzzzzzzzzz,10000000001110100001,10000000001110100001,12
20,1011100010010001011,100011111100010101,1,zzzzzzzzzzzzzzzzzzzz,10000000001110100001,10000000001110100001,12
21,101011100010010001011,100100011111100010101,1,zzzzzzzzzzzzzzzzzzzzz,1010000000001110100001,1010000000001110100001,12
22,101011100010010001011,1100100011111100010101,1,zzzzzzzzzzzzzzzzzzzzzz,10010000000001110100001,10010000000001110100001,12
23,10101011100010010001011,1100100011111100010101,1,zzzzzzzzzzzzzzzzzzzzzzz,100010000000001110100001,100010000000001110100001,12
24,110101011100010010001011,101100100011111100010101,1,zzzzzzzzzzzzzzzzzzzzzzzz,1100010000000001110100001,1100010000000001110100001,12
25,1110101011100010010001011,101100100011111100010101,1,zzzzzzzzzzzzzzzzzzzzzzzzz,10100010000000001110100001,10100010000000001110100001,12
26,1110101011100010010001011,10101100100011111100010101,1,zzzzzzzzzzzzzzzzzzzzzzzzzz,100100010000000001110100001,100100010000000001110100001,12
27,101110101011100010010001011,10101100100011111100010101,1,zzzzzzzzzzzzzzzzzzzzzzzzzzz,1000100010000000001110100001,1000100010000000001110100001,12
28,101110101011100010010001011,1010101100100011111100010101,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzz,10000100010000000001110100001,10000100010000000001110100001,12
29,101110101011100010010001011,1010101100100011111100010101,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzz,10000100010000000001110100001,10000100010000000001110100001,12
30,101110101011100010010001011,1010101100100011111100010101,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,10000100010000000001110100001,10000100010000000001110100001,12
31,1000101110101011100010010001011,1010101100100011111100010101,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,1010000100010000000001110100001,1010000100010000000001110100001,12
32,11000101110101011100010010001011,1010101100100011111100010101,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,11010000100010000000001110100001,11010000100010000000001110100001,12
33,111000101110101011100010010001011,1010101100100011111100010101,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,111010000100010000000001110100001,111010000100010000000001110100001,13
34,1111000101110101011100010010001011,1010101100100011111100010101,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,1111010000100010000000001110100001,1111010000100010000000001110100001,14
35,11111000101110101011100010010001011,1010101100100011111100010101,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,11111010000100010000000001110100001,11111010000100010000000001110100001,14
36,111111000101110101011100010010001011,1010101100100011111100010101,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,111111010000100010000000001110100001,111111010000100010000000001110100001,14
37,1111111000101110101011100010010001011,1010101100100011111100010101,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,1111111010000100010000000001110100001,1111111010000100010000000001110100001,14
38,11111111000101110101011100010010001011,1010101100100011111100010101,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,11111111010000100010000000001110100001,11111111010000100010000000001110100001,14
39,111111111000101110101011100010010001011,1010101100100011111100010101,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,111111111010000100010000000001110100001,111111111010000100010000000001110100001,14
40,1111111111000101110101011100010010001011,1010101100100011111100010101,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,1111111111010000100010000000001110100001,1111111111010000100010000000001110100001,14
41,11111111111000101110101011100010010001011,1010101100100011111100010101,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,11111111111010000100010000000001110100001,11111111111010000100010000000001110100001,14
42,111111111111000101110101011100010010001011,1010101100100011111100010101,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,111111111111010000100010000000001110100001,111111111111010000100010000000001110100001,14
43,1111111111111000101110101011100010010001011,1010101100100011111100010101,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,1111111111111010000100010000000001110100001,1111111111111010000100010000000001110100001,14
44,11111111111111000101110101011100010010001011,1010101100100011111100010101,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,11111111111111010000100010000000001110100001,11111111111111010000100010000000001110100001,14
45,111111111111111000101110101011100010010001011,1010101100100011111100010101,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,111111111111111010000100010000000001110100001,111111111111111010000100010000000001110100001,14
46,1111111111111111000101110101011100010010001011,1010101100100011111100010101,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,1111111111111111010000100010000000001110100001,1111111111111111010000100010000000001110100001,14
47,11111111111111111000101110101011100010010001011,1010101100100011111100010101,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,11111111111111111010000100010000000001110100001,11111111111111111010000100010000000001110100001,14
48,111111111111111111000101110101011100010010001011,1010101100100011111100010101,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,111111111111111111010000100010000000001110100001,111111111111111111010000100010000000001110100001,14
49,1111111111111111111000101110101011100010010001011,1010101100100011111100010101,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,1111111111111111111010000100010000000001110100001,1111111111111111111010000100010000000001110100001,14
50,11111111111111111111000101110101011100010010001011,1010101100100011111100010101,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,11111111111111111111010000100010000000001110100001,11111111111111111111010000100010000000001110100001,14
51,111111111111111111111000101110101011100010010001011,1010101100100011111100010101,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,111111111111111111111010000100010000000001110100001,111111111111111111111010000100010000000001110100001,14
52,1111111111111111111111000101110101011100010010001011,1010101100100011111100010101,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,1111111111111111111111010000100010000000001110100001,1111111111111111111111010000100010000000001110100001,14
53,11111111111111111111111000101110101011100010010001011,1010101100100011111100010101,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,11111111111111111111111010000100010000000001110100001,11111111111111111111111010000100010000000001110100001,14
54,111111111111111111111111000101110101011100010010001011,1010101100100011111100010101,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,111111111111111111111111010000100010000000001110100001,111111111111111111111111010000100010000000001110100001,14
55,1111111111111111111111111000101110101011100010010001011,1010101100100011111100010101,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,1111111111111111111111111010000100010000000001110100001,1111111111111111111111111010000100010000000001110100001,14
56,11111111111111111111111111000101110101011100010010001011,1010101100100011111100010101,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,11111111111111111111111111010000100010000000001110100001,11111111111111111111111111010000100010000000001110100001,14
57,111111111111111111111111111000101110101011100010010001011,1010101100100011111100010101,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,111111111111111111111111111010000100010000000001110100001,111111111111111111111111111010000100010000000001110100001,14
58,1111111111111111111111111111000101110101011100010010001011,1010101100100011111100010101,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,1111111111111111111111111111010000100010000000001110100001,1111111111111111111111111111010000100010000000001110100001,14
59,11111111111111111111111111111000101110101011100010010001011,1010101100100011111100010101,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,11111111111111111111111111111010000100010000000001110100001,11111111111111111111111111111010000100010000000001110100001,14
60,111111111111111111111111111111000101110101011100010010001011,1010101100100011111100010101,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,111111111111111111111111111111010000100010000000001110100001,111111111111111111111111111111010000100010000000001110100001,14
61,1111111111111111111111111111111000101110101011100010010001011,1010101100100011111100010101,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,1111111111111111111111111111111010000100010000000001110100001,1111111111111111111111111111111010000100010000000001110100001,14
62,11111111111111111111111111111111000101110101011100010010001011,1010101100100011111100010101,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,11111111111111111111111111111111010000100010000000001110100001,11111111111111111111111111111111010000100010000000001110100001,14
63,111111111111111111111111111111111000101110101011100010010001011,1010101100100011111100010101,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,111111111111111111111111111111111010000100010000000001110100001,111111111111111111111111111111111010000100010000000001110100001,14
64,1111111111111111111111111111111111000101110101011100010010001011,1010101100100011111100010101,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,1111111111111111111111111111111111010000100010000000001110100001,1111111111111111111111111111111111010000100010000000001110100001,14
1,0,0,1,z,1,1,2
2,10,10,1,zz,101,101,3
3,10,110,1,zzz,1001,1001,5
4,1010,1110,1,zzzz,11001,11001,6
5,1010,11110,1,zzzzz,101001,101001,7
6,1010,111110,1,zzzzzz,1001001,1001001,8
7,1010,111110,1,zzzzzzz,1001001,1001001,8
8,10001010,111110,1,zzzzzzzz,11001001,11001001,8
9,110001010,111110,1,zzzzzzzzz,111001001,111001001,9
10,1110001010,111110,1,zzzzzzzzzz,1111001001,1111001001,10
11,1110001010,10000111110,1,zzzzzzzzzzz,11111001001,11111001001,10
12,1110001010,110000111110,1,zzzzzzzzzzzz,111111001001,111111001001,10
13,1110001010,110000111110,1,zzzzzzzzzzzzz,111111001001,111111001001,10
14,10001110001010,110000111110,1,zzzzzzzzzzzzzz,10111111001001,10111111001001,10
15,10001110001010,110000111110,1,zzzzzzzzzzzzzzz,10111111001001,10111111001001,10
16,10001110001010,110000111110,1,zzzzzzzzzzzzzzzz,10111111001001,10111111001001,10
17,10010001110001010,110000111110,1,zzzzzzzzzzzzzzzzz,10010111111001001,10010111111001001,11
18,10010001110001010,110000111110,1,zzzzzzzzzzzzzzzzzz,10010111111001001,10010111111001001,12
19,10010001110001010,1000000110000111110,1,zzzzzzzzzzzzzzzzzzz,1010010111111001001,1010010111111001001,12
20,10010001110001010,1000000110000111110,1,zzzzzzzzzzzzzzzzzzzz,1010010111111001001,1010010111111001001,12
21,10010001110001010,1000000110000111110,1,zzzzzzzzzzzzzzzzzzzzz,1010010111111001001,1010010111111001001,12
22,1000010010001110001010,1000000110000111110,1,zzzzzzzzzzzzzzzzzzzzzz,1001010010111111001001,1001010010111111001001,12
23,11000010010001110001010,10001000000110000111110,1,zzzzzzzzzzzzzzzzzzzzzzz,101001010010111111001001,101001010010111111001001,12
24,11000010010001110001010,10001000000110000111110,1,zzzzzzzzzzzzzzzzzzzzzzzz,101001010010111111001001,101001010010111111001001,12
25,1011000010010001110001010,1010001000000110000111110,1,zzzzzzzzzzzzzzzzzzzzzzzzz,10101001010010111111001001,10101001010010111111001001,12
26,1011000010010001110001010,11010001000000110000111110,1,zzzzzzzzzzzzzzzzzzzzzzzzzz,100101001010010111111001001,100101001010010111111001001,12
27,101011000010010001110001010,111010001000000110000111110,1,zzzzzzzzzzzzzzzzzzzzzzzzzzz,1100101001010010111111001001,1100101001010010111111001001,12
28,101011000010010001110001010,1111010001000000110000111110,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzz,10100101001010010111111001001,10100101001010010111111001001,12
29,101011000010010001110001010,11111010001000000110000111110,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzz,100100101001010010111111001001,100100101001010010111111001001,12
30,101011000010010001110001010,11111010001000000110000111110,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,100100101001010010111111001001,100100101001010010111111001001,12
31,1000101011000010010001110001010,11111010001000000110000111110,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,1100100101001010010111111001001,1100100101001010010111111001001,12
32,1000101011000010010001110001010,10011111010001000000110000111110,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,11100100101001010010111111001001,11100100101001010010111111001001,12
33,1000101011000010010001110001010,110011111010001000000110000111110,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,111100100101001010010111111001001,111100100101001010010111111001001,13
34,1000101011000010010001110001010,1110011111010001000000110000111110,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,1111100100101001010010111111001001,1111100100101001010010111111001001,14
35,1000101011000010010001110001010,11110011111010001000000110000111110,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,11111100100101001010010111111001001,11111100100101001010010111111001001,14
36,1000101011000010010001110001010,111110011111010001000000110000111110,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,111111100100101001010010111111001001,111111100100101001010010111111001001,14
37,1000101011000010010001110001010,1111110011111010001000000110000111110,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,1111111100100101001010010111111001001,1111111100100101001010010111111001001,14
38,1000101011000010010001110001010,11111110011111010001000000110000111110,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,11111111100100101001010010111111001001,11111111100100101001010010111111001001,14
39,1000101011000010010001110001010,111111110011111010001000000110000111110,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,111111111100100101001010010111111001001,111111111100100101001010010111111001001,14
40,1000101011000010010001110001010,1111111110011111010001000000110000111110,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,1111111111100100101001010010111111001001,1111111111100100101001010010111111001001,14
41,1000101011000010010001110001010,11111111110011111010001000000110000111110,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,11111111111100100101001010010111111001001,11111111111100100101001010010111111001001,14
42,1000101011000010010001110001010,111111111110011111010001000000110000111110,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,111111111111100100101001010010111111001001,111111111111100100101001010010111111001001,14
43,1000101011000010010001110001010,1111111111110011111010001000000110000111110,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,1111111111111100100101001010010111111001001,1111111111111100100101001010010111111001001,14
44,1000101011000010010001110001010,11111111111110011111010001000000110000111110,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,11111111111111100100101001010010111111001001,11111111111111100100101001010010111111001001,14
45,1000101011000010010001110001010,111111111111110011111010001000000110000111110,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,111111111111111100100101001010010111111001001,111111111111111100100101001010010111111001001,14
46,1000101011000010010001110001010,1111111111111110011111010001000000110000111110,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,1111111111111111100100101001010010111111001001,1111111111111111100100101001010010111111001001,14
